Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
DYNLT3		0	5441	8805	8830	5210	3373	8994	14836	5733	8437
DYSF		637	448	478	602	1035	516	3575	290	1276	330
EARS2		3469	2340	4242	2995	2229	3547	3066	3990	9021	1983
EBNA1BP2		3156	2806	2050	938	2523	2512	3050	1905	1460	3029
EBP		23042	16070	16314	17639	15988	31315	12499	34073	8730	25825
ECE1		909	2399	1223	1038	1471	1245	3838	3332	1935	3224
ECH1		74070	64455	58786	78645	73799	73808	124304	56749	48608	52041
ECHDC1		14683	10915	13073	22204	15759	13039	12632	8847	13231	4055
ECHDC2		1191	3135	10857	1444	2794	1965	6267	6814	3303	0
ECHDC3		874	3020	2729	4484	4114	3273	9655	5050	2671	33268
ECHS1		48192	50560	50841	49027	33072	42842	84848	95125	136852	143866
ECI1		20175	41844	23406	31808	17889	16341	58172	97356	17057	59732
ECI2		3939	9494	7238	1869	4425	6003	11686	10800	5009	8008
ECM1		7525	25206	12578	14145	9596	12003	13352	12468	32315	27099
ECM2		438	1677	2065	1139	1154	1100	2541	539	3861	3824
ECPAS		2867	4563	2852	1395	3362	3208	2170	3697	2214	6418
ECSIT		0	0	159	0	0	0	417	352	0	0
EDC3		813	0	658	0	728	798	520	770	0	3990
EDC4		1596	1724	1681	590	2147	1447	1526	7119	1525	2555
EDEM3		0	0	0	128	0	113	0	195	0	0
EDF1		12390	16386	18649	5764	13806	8951	10835	13212	10355	17811
EEA1		715	180	1212	1605	1203	1036	718	1419	733	858
EEF1A2		1982344	1642339	1588720	1078840	1291751	1708680	1803557	2186213	1665820	1783164
EEF1AKMT1		0	1784	3720	0	0	0	2734	0	0	3399
EEF1B2		144508	125522	110991	101154	110652	169187	131508	137246	129077	205067
EEF1D		252022	156179	151772	159647	143814	215323	180131	169945	169404	227828
EEF1E1		16491	19516	20478	8159	11004	11161	17831	35585	16177	23894
EEF1G		128595	93753	96711	104958	72486	122470	84722	116481	139930	146710
EEF2		129960	89244	88673	70112	70615	99829	84488	280259	106817	98334
EEF2K		0	0	0	0	0	433	0	549	0	561
EEFSEC		2139	1926	2118	797	578	1076	646	2147	1697	11799
EEIG1		0	0	0	0	0	0	826	253	0	0
EEIG2		0	0	0	0	0	0	0	748	0	0
EEPD1		139	0	0	768	0	0	0	90	0	1137
EFEMP1		15848	36727	28883	53065	64822	33874	15780	247619	54988	22851
EFEMP2		5597	10896	22028	12190	20432	14236	10857	4380	13048	13782
EFHD1		8147	8290	26493	1983	14294	9191	27180	9733	6194	3872
EFHD2		22780	15642	12352	10339	11303	13884	5406	7877	12161	27183
EFL1		1076	1938	1455	927	896	1220	1614	2230	1284	1692
EFNB1		1040	0	2353	2455	1089	426	0	1210	0	0
EFR3A		867	87	1136	1646	744	882	501	422	1189	639
EFS		435	294	2203	0	3333	770	2024	2355	1642	2004
EFTUD2		6937	5708	5187	3432	6250	5122	5164	5406	5397	6215
EGFR		385	405	394	1062	902	511	147	144	878	404
EHBP1L1		778	184	447	226	0	466	695	507	0	785
EHD1		9358	8951	6092	10461	6936	8771	9760	8968	3254	8815
EHD2		15360	52007	36291	249945	46320	25514	7941	21195	51260	15045
EHD3		814	949	1319	278	1881	632	366	220	684	783
EHD4		15895	12525	13451	17894	14852	15225	19424	8705	51448	10838
EHHADH		1286	2034	1112	1699	1411	2096	1865	1701	267	1606
EHMT1		338	0	356	0	258	229	207	193	249	181
EHMT2		525	0	339	0	180	677	262	335	210	301
EIF1		2511	5926	5517	13131	4599	1857	3110	3260	0	6251
EIF1AX		6827	9832	13038	5698	14186	10096	17057	17616	8669	11495
EIF2A		5840	5509	6907	3651	3880	5034	6820	6355	5205	5768
EIF2AK2		2570	1487	1997	1488	1221	1146	1445	2560	1565	14951
EIF2AK4		180	29	213	60	121	518	472	367	0	257
EIF2B1		4713	14458	6712	3153	2906	5268	6859	11836	2993	27144
EIF2B2		10552	6042	7067	4404	8809	9578	12933	7306	4256	2806
EIF2B3		4733	5190	4318	1980	2945	5937	12084	3686	2306	1838
EIF2B4		2953	2145	2744	2109	2844	3071	3480	3394	1722	2935
EIF2B5		5424	2112	3352	2344	2215	3197	5058	3505	2086	3000
EIF2D		1937	927	1384	829	1192	1024	1258	418	1193	841
EIF2S1		45085	35128	40653	26500	28635	40667	42383	40137	38843	45593
EIF2S2		10566	9585	10497	5160	4241	12241	13962	13112	5206	10959
EIF2S3		11887	8743	9993	3986	7400	8994	9127	9769	9719	13524
EIF3A		3302	427	1412	4001	974	2218	2197	3527	615	2650
EIF3B		6446	5557	7431	5757	5679	6595	7369	10030	5249	10510
EIF3C		3949	383	945	5045	665	4264	1598	4465	357	3346
EIF3D		11205	11946	5762	5225	5172	5981	17434	10843	5251	9894
EIF3E		21100	19850	18251	10557	13839	17187	20766	23775	23615	17060
EIF3F		32898	27600	29526	18815	25463	27795	32568	36894	30989	32507
EIF3G		36816	18513	23553	3233	29187	34315	3092	17086	6863	29215
EIF3H		12538	8694	6440	1951	5926	8516	13874	7539	4662	5044
EIF3I		27467	17254	20839	12666	18920	20016	19552	21060	21144	23282
EIF3J		9379	7487	11468	2962	6554	10692	7603	7365	3320	5703
EIF3K		36016	33971	39497	26145	22241	24024	22358	30136	37312	25250
EIF3L		18732	12146	16263	8693	12811	11295	14973	14306	17750	7249
EIF3M		6423	5426	5018	4584	4583	5357	5437	6303	7645	4943
EIF4A1		51540	48266	60804	29973	14998	49187	35729	60966	60722	68194
EIF4A2		46484	24068	25419	16617	49557	60169	96534	29140	25357	17683
EIF4A3		25598	26343	30261	16281	21972	22989	22883	28961	29764	43381
EIF4B		11965	15061	15067	9819	13914	11502	9941	19243	12794	19507
EIF4E		30401	21933	24696	17491	28714	30544	42770	19486	23562	15827
EIF4E2		728	378	985	0	496	1081	1348	947	0	637
EIF4EBP1		0	0	1451	0	4618	602	15942	4078	0	6704
EIF4G1		5439	6023	5251	2977	2880	3452	6045	6674	3064	10342
EIF4G2		3146	2759	3767	1969	2145	3002	7146	3146	4015	3627
EIF4G3		1159	565	906	371	912	1121	727	865	992	1037
EIF4H		23894	21643	25518	6956	20296	20113	22181	22103	13010	19883
EIF5		13122	6223	9108	6882	9379	10147	8704	5994	6977	8413
EIF5A		66214	136067	85140	92251	78318	101009	92264	161169	48191	132449
EIF5B		314	0	176	737	0	408	818	1615	0	2789
